Time_Index,MA_Diesel,MA_Biodiesel,MA_Methanol,MA_Hydrogen,MA_Ammonia,MA_Primary_Al_Air,MA_Electricity,None
256,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
257,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
258,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
259,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
260,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
261,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
262,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
263,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
264,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
265,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
266,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
267,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
268,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
269,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
270,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
271,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
272,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
273,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
274,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
275,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
276,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
277,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
278,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
279,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
280,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
281,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
282,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
283,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
284,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
285,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
286,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
287,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
288,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
289,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
290,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
291,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
292,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
293,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
294,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
295,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
296,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
297,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
298,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
299,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
300,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
301,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
302,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
303,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
304,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
305,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
306,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
307,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
308,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
309,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
310,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
311,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
312,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
313,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
314,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
315,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
316,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
317,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
318,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
319,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
320,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
321,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
322,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
323,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
324,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
325,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
